stop_id,stop_name,stop_lat,stop_lon,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,sample_size,last_updated
8230DB004887,St Colmcilles Way,53.279473,-6.318038,weekday,evening,,100.0,-0.26,0.64,6,2026-07-03 02:53:36.731074
8250DB005051,Pine Valley,53.2735579991915,-6.2597467856516,weekday,pm_peak,,100.0,1.23,0.68,23,2026-07-03 02:53:36.731074
8230DB007967,Citywest SC,53.282747,-6.421421,weekday,pm_peak,,100.0,2.4,,1,2026-07-03 02:53:36.731074
8230DB004348,Tallaght Luas,53.286672,-6.37505,weekday,evening,4.5,91.4,1.23,3.34,35,2026-07-03 02:53:36.731074
8250DB002866,Dundrum Luas,53.291518,-6.245741,weekday,evening,4.5,100.0,-0.01,0.04,74,2026-07-03 02:53:36.731074
8230DB004931,Castle Drive,53.289019,-6.42536,weekday,pm_peak,,7.7,10.62,3.05,13,2026-07-03 02:53:36.731074
8230DB007459,Citywest Rd N,53.290842,-6.427288,weekday,pm_peak,,14.3,5.72,2.73,14,2026-07-03 02:53:36.731074
8230DB005022,Lake Drive,53.29338,-6.422829,weekday,evening,,100.0,-0.54,1.13,24,2026-07-03 02:53:36.731074
8230DB006022,Kingswood Avenue,53.2951649041223,-6.41844305964385,weekday,evening,,100.0,0.4,,1,2026-07-03 02:53:36.731074
8250DB002976,Grange Hall,53.272057,-6.255459,weekday,pm_peak,,95.7,0.71,1.13,23,2026-07-03 02:53:36.731074
8230DB002980,Three Rock Rvrs,53.280017,-6.273071,weekday,evening,4.5,98.2,0.11,0.94,56,2026-07-03 02:53:36.731074
8230DB007878,Cappaghmore,53.331074,-6.399068,weekday,evening,,100.0,1.2,0.25,3,2026-07-03 02:53:36.731074
8310B133941,Ninemile Stone,53.497318,-6.385395,weekday,evening,,0.0,11.07,1.09,5,2026-07-03 02:53:36.731074
8230DB008029,Liffey Valley SC,53.354429,-6.392694,weekday,pm_peak,,7.7,9.56,4.14,26,2026-07-03 02:53:36.731074
8230DB002115,Oakfield,53.32563,-6.395248,weekday,pm_peak,,100.0,-2.89,1.13,3,2026-07-03 02:53:36.731074
8230DB008074,Nangor,53.318912,-6.431434,weekday,pm_peak,,96.6,0.27,1.49,29,2026-07-03 02:53:36.731074
8230DB008076,Green Isle Road,53.304156,-6.421397,weekday,pm_peak,,0.0,7.85,,1,2026-07-03 02:53:36.731074
8240DB001545,Westend Office Park,53.3927566349334,-6.38428863097674,weekday,pm_peak,4.5,92.0,1.56,1.46,50,2026-07-03 02:53:36.731074
8230DB004602,The Penny Hill,53.347626,-6.424477,weekday,evening,3.0,83.3,3.63,8.85,42,2026-07-03 02:53:36.731074
