route_id,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,cancellation_rate,sample_size,last_updated
2 333 g,weekday,pm_peak,1.0,0.0,17.01,0.68,0.0,45,2026-07-02 18:20:24.428456
2 336 g,weekday,pm_peak,1.0,19.6,6.49,3.43,0.0,56,2026-07-02 18:20:24.428456
2 109A c b,weekday,evening,1.0,38.5,8.09,7.85,0.0,122,2026-07-02 18:20:24.428456
2 355 d a,weekday,pm_peak,2.5,64.7,6.61,4.57,0.0,34,2026-07-02 18:20:24.428456
2 360 c a,weekday,evening,1.0,58.7,13.99,23.45,0.0,167,2026-07-02 18:20:24.428456
2 365 c a,weekday,evening,,50.0,17.91,19.64,0.0,6,2026-07-02 18:20:24.428456
2 370 c a,weekday,evening,,54.5,4.66,1.88,0.0,22,2026-07-02 18:20:24.428456
2 405 d,weekday,evening,4.5,93.4,1.41,2.86,0.0,151,2026-07-02 18:20:24.428456
2 440 c a,weekday,evening,4.5,100.0,-0.02,1.62,0.0,51,2026-07-02 18:20:24.428456
2 446 c a,weekday,pm_peak,4.5,100.0,1.5,0.93,0.0,34,2026-07-02 18:20:24.428456
2 466 c a,weekday,evening,4.5,100.0,0.2,0.95,0.0,56,2026-07-02 18:20:24.428456
2 480 d,weekday,pm_peak,3.5,89.9,3.87,0.99,0.0,89,2026-07-02 18:20:24.428456
2 491 c a,weekday,pm_peak,,100.0,-0.2,0.0,0.0,11,2026-07-02 18:20:24.428456
2 492 c a,weekday,pm_peak,4.5,100.0,-0.49,0.99,0.0,34,2026-07-02 18:20:24.428456
2 494 d,weekday,pm_peak,4.0,97.2,4.01,5.33,0.0,36,2026-07-02 18:20:24.428456
2 51 c b,weekday,pm_peak,1.0,9.2,21.96,13.9,0.0,414,2026-07-02 18:20:24.428456
2 72 c a,weekday,pm_peak,1.0,33.8,4.45,2.69,0.0,68,2026-07-02 18:20:24.428456
2 A1 c a,weekday,pm_peak,2.0,71.7,5.05,5.47,0.0,435,2026-07-02 18:20:24.428456
2 A2 c a,weekday,evening,4.5,100.0,1.52,1.87,0.0,77,2026-07-02 18:20:24.428456
2 111A c a,weekday,pm_peak,4.5,100.0,-4.14,1.99,0.0,46,2026-07-02 18:20:24.428456
2 CW2 a,weekday,evening,1.0,53.8,6.73,8.89,0.0,182,2026-07-02 18:20:24.428456
2 D2 c a,weekday,pm_peak,1.0,47.2,6.39,5.73,0.0,197,2026-07-02 18:20:24.428456
2 D4 c a,weekday,evening,2.0,64.5,37.59,50.7,0.0,93,2026-07-02 18:20:24.428456
2 NV2 a,weekday,evening,4.5,100.0,0.06,0.34,0.0,36,2026-07-02 18:20:24.428456
2 115C d,weekday,evening,1.5,57.1,5.07,4.2,0.0,42,2026-07-02 18:20:24.428456
2 S3 a,weekday,evening,4.5,100.0,1.0,1.46,0.0,81,2026-07-02 18:20:24.428456
10000 GREEN g a,weekday,pm_peak,,79.2,-5.69,16.86,0.0,24,2026-07-02 18:20:24.428456
3 L1 a,weekday,pm_peak,3.5,77.3,3.42,3.49,0.0,44,2026-07-02 18:20:24.428456
3 111 e a,weekday,pm_peak,,0.0,13.68,7.1,0.0,26,2026-07-02 18:20:24.428456
3 161 d a,weekday,evening,4.5,100.0,-0.57,0.78,0.0,37,2026-07-02 18:20:24.428456
3 270 d b,weekday,pm_peak,,0.0,23.58,0.54,0.0,6,2026-07-02 18:20:24.428456
3 33A d a,weekday,evening,1.0,43.3,7.24,6.05,0.0,203,2026-07-02 18:20:24.428456
3 45A d a,weekday,pm_peak,2.5,72.0,2.9,2.92,0.0,107,2026-07-02 18:20:24.428456
WFRD W5 b c,weekday,evening,2.5,60.9,4.04,3.77,0.0,591,2026-07-02 18:20:24.428456
WFRD W1 c c,weekday,pm_peak,4.5,99.6,1.29,1.57,0.0,540,2026-07-02 18:20:24.428456
03C 130 e a,weekday,evening,1.0,0.0,10.32,1.43,0.0,35,2026-07-02 18:20:24.428456
03C 120X e a,weekday,pm_peak,4.5,100.0,-0.25,1.39,0.0,148,2026-07-02 18:20:24.428456
03C 120X e a,weekday,evening,,100.0,-0.8,0.54,0.0,13,2026-07-02 18:20:24.428456
MAL-COBH-O,saturday,pm_peak,4.5,100.0,0.0,0.0,0.0,46,2026-07-02 18:20:24.428456
DUB-BFT-I,weekday,pm_peak,4.5,100.0,0.49,2.87,0.0,45,2026-07-02 18:20:24.428456
DUB-EUROPORT-I,weekday,pm_peak,4.5,93.4,1.63,1.96,0.0,183,2026-07-02 18:20:24.428456
DUB-GALWAY-I,saturday,pm_peak,4.5,100.0,0.51,0.87,0.0,91,2026-07-02 18:20:24.428456
DUB-MAYNOOTH-I,weekday,evening,4.5,99.2,0.96,1.44,0.0,257,2026-07-02 18:20:24.428456
DUB-MAYNOOTH-O,weekday,pm_peak,4.5,97.7,2.71,1.84,0.0,486,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-O,weekday,evening,4.5,100.0,-0.71,3.12,0.0,142,2026-07-02 18:20:24.428456
DUB-SLIGO-I,weekday,evening,1.5,52.9,3.62,2.77,0.0,34,2026-07-02 18:20:24.428456
DUB-SLIGO-O,weekday,pm_peak,2.5,71.3,2.59,2.27,0.0,80,2026-07-02 18:20:24.428456
DUB-TRALEE-O,saturday,pm_peak,4.5,100.0,0.16,1.35,0.0,57,2026-07-02 18:20:24.428456
DUB-WATERFORD-O,saturday,evening,4.5,100.0,2.77,2.79,0.0,88,2026-07-02 18:20:24.428456
GALWAY-LIM-I,saturday,pm_peak,4.5,100.0,0.0,0.0,0.0,46,2026-07-02 18:20:24.428456
1 39A c a,weekday,pm_peak,1.0,48.1,8.12,8.36,0.0,1295,2026-07-02 18:20:24.428456
1 40D c a,weekday,evening,4.5,100.0,-0.05,0.59,0.0,832,2026-07-02 18:20:24.428456
